보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
심곡동 538,1,경기도 부천시 부일로495번길 43,경기도 부천시 심곡2동 163-27 앞 위치,37.48749994,126.7854551,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 1008,1,경기도 부천시 부일로483번길 40,경기도 부천시 심곡2동 163-2번지앞전주,37.48753399,126.784365,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 536,1,경기도 부천시 부천로40번길 32-1,경기도 부천시 심곡2동 163-36 앞 코너위치,37.48743085,126.7851206,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 537,1,경기도 부천시 부천로40번길 32-1,경기도 부천시 심곡2동 163-36 집벽면위치,37.48743085,126.7851206,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 544,1,경기도 부천시 부천로 32,경기도 부천시 심곡2동 164-4앞 (164-14와 사이에 위치),37.48702459,126.7836926,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 549,1,경기도 부천시 부일로495번길 27,경기도 부천시 심곡2동 165-16앞 (148-17맞은편 위치 1개),37.48679324,126.7852853,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 585,1,경기도 부천시 부일로495번길 27,경기도 부천시 심곡2동 165-16앞 (148-17맞은편 위치1개),37.48679324,126.7852853,,,032-625-5074,경기도 부천시청,2020-10-22
심곡동 548,1,경기도 부천시 부일로495번길 27,경기도 부천시 심곡2동 165-16앞 (167-8 맞은편 코너위치1개),37.48679324,126.7852853,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 539,2,경기도 부천시 부일로495번길 33,경기도 부천시 심곡2동 165-18 앞 코너 위치,37.48703843,126.7853479,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 545,1,경기도 부천시 부천로30번길 19,경기도 부천시 심곡2동 165-22번지앞전주(꽃천지앞),37.48690332,126.7843804,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 542,1,경기도 부천시 부천로30번길 23-6,경기도 부천시 심곡2동 165-4 옥상 위치,37.48696159,126.7847149,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 546,1,경기도 부천시 부천로30번길 25,경기도 부천시 심곡2동 165-6 앞(165-5와 사이에 위치),37.48682842,126.7848148,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 541,2,경기도 부천시 부천로30번길 27-7,경기도 부천시 심곡2동 165-9앞 골목입구 위치,37.48712768,126.7848818,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 543,1,,경기도 부천시 심곡2동 165앞 (165-24사이에 위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 586,2,경기도 부천시 부천로24번길 13,경기도 부천시 심곡2동 167-12 앞 길목입구 위치,37.48629497,126.7847847,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 547,1,,경기도 부천시 심곡2동 167-25 대문위,,,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 588,1,경기도 부천시 부천로24번길 3,경기도 부천시 심곡2동 167-34 앞 코너 위치,37.48638393,126.7841558,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 587,1,경기도 부천시 부천로24번길 7,경기도 부천시 심곡2동 167-35 앞 위치,37.48646721,126.7843681,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 584,1,경기도 부천시 부일로495번길 19,경기도 부천시 심곡2동 167-9 옥상 위치,37.48650103,126.7851278,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 589,1,경기도 부천시 부일로483번길 11,경기도 부천시 심곡2동 168-4 앞 위치,37.48631484,126.7838213,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 590,1,경기도 부천시 부천로24번길 22,경기도 부천시 심곡2동 169-14앞 위치,37.48604324,126.7850884,,,032-625-5074,경기도 부천시청,2020-10-22
심곡동 489,1,경기도 부천시 부일로 490,경기도 부천시 심곡2동 170-2 소신여객(170-20맞은편 위치1개),37.48508346,126.7844806,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 487,1,경기도 부천시 부천로10번길 13,경기도 부천시 심곡2동 170-21 (170-15 와사이에 위치),37.4852009,126.7836617,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 488,1,경기도 부천시 부일로 490,경기도 부천시 심곡2동 170-2앞 소신여객 (171-22맞은편 위치1개),37.48508346,126.7844806,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 486,1,경기도 부천시 부일로 482,경기도 부천시 심곡2동 170-4 앞 골목 입구위치,37.48564758,126.7835428,,,032-625-5074,경기도 부천시청,2020-10-22
심곡동 485,1,경기도 부천시 부천로10번길 11,경기도 부천시 심곡2동 170-6 앞 골목안 위치,37.48541685,126.7835027,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 484,1,경기도 부천시 부천로10번길 9,경기도 부천시 심곡2동 170-8 앞 골목 입구 위치,37.48522212,126.7834416,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 491,2,경기도 부천시 부천로10번길 33,경기도 부천시 심곡2동 170-9앞 코너 위치,37.48502648,126.7848562,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 483,1,경기도 부천시 부천로6번길 18,경기도 부천시 심곡2동 172-12 앞 위치,,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 481,1,경기도 부천시 부천로6번길 30,경기도 부천시 심곡2동 172-2 앞 (172-1과 사이에 위치),37.48446108,126.784496,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 482,1,,경기도 부천시 심곡2동 172-6 앞 위치,,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 410,1,경기도 부천시 부천로 3-1,경기도 부천시 심곡2동 173-1 앞 위치,37.48467864,126.7818767,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 409,1,경기도 부천시 부천로 3-1,경기도 부천시 심곡2동 173-6 앞 위치,37.48467864,126.7818767,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 403,1,경기도 부천시 부천로1번길 24,경기도 부천시 심곡2동 173-8 고시원 옥상 남쪽방향위치,37.48469589,126.7814606,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 404,1,경기도 부천시 부천로1번길 24,경기도 부천시 심곡2동 173-8 고시원 옥상 북쪽방향위치,37.48469589,126.7814606,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 996,1,경기도 부천시 부천로3번길 30,경기도 부천시 심곡2동 174-11번지코너전주에신설,37.4850919,126.7812288,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 411,1,,경기도 부천시 심곡2동 175-10앞 (175-17사이에 위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 375,1,경기도 부천시 부천로23번길 11,경기도 부천시 심곡2동 176-15 앞 위치,37.48650224,126.7818579,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 376,1,경기도 부천시 부천로 21,경기도 부천시 심곡2동 177-4 앞 (177-3과 사이에 위치),37.48637049,126.7827221,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 377,1,경기도 부천시 부일로469번길 17,경기도 부천시 심곡2동 179-1 앞 (179-10과 사이에 위치),37.48674106,126.7823728,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 374,1,경기도 부천시 부일로459번길 22,경기도 부천시 심곡2동 179-3 기둥교회앞 (176-12 맞은편 위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 372,1,경기도 부천시 부일로459번길 22,경기도 부천시 심곡2동 179-3 기둥교회앞 (380-1맞은편 위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 373,1,경기도 부천시 부일로459번길 22,경기도 부천시 심곡2동 179-3 기둥교회앞 (380-31맞은편코너위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 628,1,경기도 부천시 부흥로 409,경기도 부천시 심곡2동 181-18 옥상 위치,37.48956838,126.7862016,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 625,1,경기도 부천시 부천로80번길 58,경기도 부천시 심곡2동 181-2앞 (181-11과 사이에 위치),37.48957062,126.7865438,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 626,1,경기도 부천시 부천로80번길 60,경기도 부천시 심곡2동 181-3 앞 코너 위치,37.48949883,126.7867068,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 627,1,경기도 부천시 부흥로413번길 9,경기도 부천시 심곡2동 181-6 옥상 위치,37.48944104,126.7866346,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 624,1,경기도 부천시 부천로80번길 48,경기도 부천시 심곡2동 181-8앞 (181-7 사이에 위치),37.48987994,126.7861991,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 621,1,,경기도 부천시 심곡2동 181앞 (126 맞은편 서쪽끝 코너위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 622,1,,경기도 부천시 심곡2동 181앞 (126-6 맞은편 동쪽끝위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 630,1,,경기도 부천시 심곡2동 184 앞 원미초등학교 담벽 (서쪽끝코너위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 565,1,,경기도 부천시 심곡2동 184-3호 용문빌라 A동옥상,,,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 634,2,경기도 부천시 원미로57번길 29,경기도 부천시 심곡2동 184-4 늘푸른A (199-23맞은편 위치),37.48865493,126.7884007,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 635,1,경기도 부천시 원미로57번길 29,경기도 부천시 심곡2동 184-4늘푸른A (199-21맞은편 위치),37.48865493,126.7884007,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 633,1,,경기도 부천시 심곡2동 184원미초등학교 담벽(197-11맞은편 위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 632,1,,경기도 부천시 심곡2동 184원미초등학교담벽(197-2맞은편 동쪽위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 636,1,경기도 부천시 부흥로433번길 11-5,경기도 부천시 심곡2동 187-7 앞 위치,37.4883552,126.7880669,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 646,1,,경기도 부천시 심곡2동 189-78 옥상 위치,,,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 323,1,경기도 부천시 부일로459번길 40,경기도 부천시 심곡2동 192-18 앞 위치,37.48774201,126.7818497,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 327,1,경기도 부천시 부천로39번길 17,경기도 부천시 심곡2동 192-2 앞 위치,37.48791283,126.7826272,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 325,1,경기도 부천시 부천로35번길 8-7,경기도 부천시 심곡2동 192-21 옥상 위치,37.48787967,126.7822338,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 324,1,경기도 부천시 부천로35번길 10,경기도 부천시 심곡2동 192-7 앞 위치,37.48768139,126.7822027,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 326,1,경기도 부천시 부천로35번길 10,경기도 부천시 심곡2동 192-7 옥상 위치,37.48768139,126.7822027,,건축물,032-625-5074,경기도 부천시청,2020-10-22
원미동 536,1,,경기도 부천시 심곡2동 218-12 옥상 위치,,,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 455,1,,경기도 부천시 심곡2동 316-2번지 (142-13맞은편 전철 담벽 위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 454,1,,경기도 부천시 심곡2동 316-2번지 (142-15맞은편 전철 담벽위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 453,1,,경기도 부천시 심곡2동 316-2번지 (172-20 맞은편 전철 담벽위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 456,1,,경기도 부천시 심곡2동 316-2번지 (172-22맞은편 전철 담벽위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 452,1,,경기도 부천시 심곡2동 316-2번지 (172-8맞은편 전철 담벽 위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 458,1,,경기도 부천시 심곡2동 316-3 번지 (141-15맞은편 전철 담벽위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 397,2,,경기도 부천시 심곡2동 316-5 번지 (388-7맞은편 전철담벽위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 396,2,,경기도 부천시 심곡2동 316-5번지(389-1맞은편 전철담벽위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 395,1,,경기도 부천시 심곡2동 316-5번지(389-2맞은편 전철담벽위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 393,1,,경기도 부천시 심곡2동 316-5번지(389-3맞은편 전철담벽위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 457,1,,경기도 부천시 심곡2동 316-6 번지 (141-18맞은편 전철 담벽위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 459,1,,경기도 부천시 심곡2동 316-6 번지 (141-2맞은편 전철 담벽 위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 460,1,,경기도 부천시 심곡2동 316-6 번지 (141-6맞은편 전철 담벽위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 461,1,,경기도 부천시 심곡2동 316-6번지 (141-6맞은편 전철담벽위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 463,1,,경기도 부천시 심곡2동 316-6번지(이화연립맞는편 전철담벽위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 391,1,,경기도 부천시 심곡2동 319-4번지 (465-12맞은편 전철담벽위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 332,1,경기도 부천시 부일로449번길 42,경기도 부천시 심곡2동 378-14 앞 위치,37.48811458,126.780632,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 329,1,경기도 부천시 부천로35번길 30,경기도 부천시 심곡2동 378-6 앞 위치,37.48794998,126.7812747,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 331,1,경기도 부천시 부일로449번길 34,경기도 부천시 심곡2동 379-12 앞 코너위치,37.48772878,126.7805427,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 333,1,경기도 부천시 부일로449번길 32,경기도 부천시 심곡2동 379-13 옥상 위치,37.48760976,126.7804978,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 369,1,경기도 부천시 부천로29번길 40,경기도 부천시 심곡2동 379-18 앞 위치,37.48736238,126.781195,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 368,1,경기도 부천시 부천로29번길 46,경기도 부천시 심곡2동 379-22 앞 위치,37.48742652,126.7808013,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 370,1,,경기도 부천시 심곡2동 379-30 옥상 위치,,,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 381,1,경기도 부천시 부일로449번길 18,경기도 부천시 심곡2동 380-22 앞 위치,37.48700415,126.7804272,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 371,1,경기도 부천시 부천로29번길 37,경기도 부천시 심곡2동 380-25 옥상위치,37.48708835,126.781128,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 378,1,경기도 부천시 부천로23번길 23,경기도 부천시 심곡2동 381-1 앞 위치,37.48663057,126.7810931,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 380,1,,경기도 부천시 심곡2동 381-11 앞 위치,,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 449,1,경기도 부천시 부일로 448,경기도 부천시 심곡2동 383-8앞 (383-14과 사이에 위치),37.48598015,126.7801814,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 417,2,경기도 부천시 부천로3번길 42,경기도 부천시 심곡2동 384-2 앞 코너 위치,37.48510181,126.7807403,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 451,1,,경기도 부천시 심곡2동 385 항천가든 (383-13맞은편 위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 420,1,,경기도 부천시 심곡2동 385항천가든 앞 (387-1맞은편 위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 450,1,,경기도 부천시 심곡2동 385-향천가든 104앞 (392-5맞은편 코너위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 402,1,경기도 부천시 부천로1번길 34,경기도 부천시 심곡2동 386-2번지앞 철로변전주,37.48472002,126.7808681,,한전주,032-625-5074,경기도 부천시청,2020-10-22
1024,1,경기도 부천시 부천로3번길 43,경기도 부천시 심곡2동 386-4번지 철로변,37.48481268,126.7803024,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 418,1,경기도 부천시 부천로3번길 45,경기도 부천시 심곡2동 387-1 옥상 (동쪽 끝 위치),37.48499257,126.7801391,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 419,2,,경기도 부천시 심곡2동 387-2 앞 위치,,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
관리398,1,경기도 부천시 신흥로16번길 59,경기도 부천시 심곡2동 388-11호앞전주(철길옆 여인숙앞),37.48473609,126.7798187,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 422,1,경기도 부천시 신흥로22번길 56,경기도 부천시 심곡2동 388-8 앞 위치,37.48509606,126.779587,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 423,2,경기도 부천시 신흥로22번길 42,경기도 부천시 심곡2동 390-2앞 위치,37.48514868,126.778818,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 424,1,경기도 부천시 부일로432번길 27,경기도 부천시 심곡2동 390-5앞 (390-4사이에 위치),37.48533105,126.7780486,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 447,1,경기도 부천시 신흥로26번길 36,경기도 부천시 심곡2동 391-4 옥상 위치,37.48565637,126.7785587,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 448,1,경기도 부천시 신흥로26번길 54,경기도 부천시 심곡2동 392-1 앞 (392-5 와 사이에 위치),37.4855825,126.7795313,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 446,1,경기도 부천시 신흥로26번길 47,경기도 부천시 심곡2동 394-11 옥상 위치,37.48588499,126.7793993,,건축물,032-625-5074,경기도 부천시청,2020-10-22
미분류,1,경기도 부천시 부일로446번길 10-1,경기도 부천시 심곡2동 394-18 번지,37.48587469,126.7796707,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동990,1,경기도 부천시 부일로 444-7,경기도 부천시 심곡2동 394-4호옥상보안등신설,37.48607247,126.7794349,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 444,1,경기도 부천시 부일로 444-9,경기도 부천시 심곡2동 394-5 옥상 위치,37.48602901,126.779322,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 445,1,경기도 부천시 부일로 444-13,경기도 부천시 심곡2동 394-6 옥상 위치,37.48598555,126.779209,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 442,1,경기도 부천시 신흥로26번길 37,경기도 부천시 심곡2동 396-11앞 위치,37.48589446,126.7786801,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 441,1,경기도 부천시 부일로 440-5,경기도 부천시 심곡2동 396-6 앞 (39-4와 사이에 위치),37.48616896,126.7790004,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 440,1,경기도 부천시 부일로 444-16,경기도 부천시 심곡2동 396-8 앞 (396-6과 사이에 위치),37.48607507,126.7789012,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 433,1,경기도 부천시 부일로 444-16,경기도 부천시 심곡2동 396-8 옥상 위치,37.48607507,126.7789012,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 438,1,경기도 부천시 부일로 440-18,경기도 부천시 심곡2동 398-14 옥상 위치,37.48608854,126.7783946,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 439,1,경기도 부천시 부일로 436-1,경기도 부천시 심곡2동 398-8 앞 골목안 위치,37.48631592,126.7785704,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 383,1,경기도 부천시 부일로 435-13,경기도 부천시 심곡2동 402-1 앞 골목 입구 위치,37.48694396,126.7790705,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 385,1,경기도 부천시 신흥로40번길 32,경기도 부천시 심곡2동 402-14앞 (402-3과 사이에 위치),37.48701517,126.7786045,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 361,1,경기도 부천시 부일로431번길 20-1,경기도 부천시 심곡2동 403-18 옥상위치,37.48743684,126.7786032,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 363,1,경기도 부천시 신흥로46번길 40-1,경기도 부천시 심곡2동 403-26앞 골목안위치,37.48735519,126.7792683,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 382,1,경기도 부천시 부일로445번길 16,경기도 부천시 심곡2동 404-15 앞 코너 위치,37.48710027,126.7797847,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 365,1,경기도 부천시 부일로445번길 22,경기도 부천시 심곡2동 404-6 앞 위치,37.4873523,126.7796528,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 335,1,경기도 부천시 신흥로52번길 52,경기도 부천시 심곡2동 405-15 옥상 위치,37.48782868,126.7799996,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 366,1,경기도 부천시 신흥로46번길 53,경기도 부천시 심곡2동 405-4 옥상 위치,37.48752227,126.7799598,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 364,1,경기도 부천시 부일로445번길 30,경기도 부천시 심곡2동 405-6 앞 코너 위치,37.48756857,126.7796657,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 338,1,경기도 부천시 부일로445번길 32,경기도 부천시 심곡2동 405-7 앞 (408-16맞은편 위치1개),37.48780992,126.7796017,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 336,1,경기도 부천시 부일로445번길 32,경기도 부천시 심곡2동 405-7앞(408-19맞은편 위치1개),37.48780992,126.7796017,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 367,1,경기도 부천시 신흥로46번길 57,경기도 부천시 심곡2동 405-9 앞 코너위치,37.48751555,126.7802267,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 341,1,경기도 부천시 신흥로46번길 31-2,경기도 부천시 심곡2동 406-14 옥상 (동쪽 끝 위치1개),37.48770042,126.7788648,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 362,2,경기도 부천시 신흥로46번길 35-3,경기도 부천시 심곡2동 406-15 앞 코너 위치,37.48768263,126.7789869,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 346,1,경기도 부천시 신흥로52번길 36,경기도 부천시 심곡2동 406-16 옥상위치,37.48796746,126.7790449,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 354,1,경기도 부천시 부일로431번길 28,경기도 부천시 심곡2동 406-9 앞 코너위치,37.4877431,126.7785616,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 347,1,경기도 부천시 신흥로52번길 35,경기도 부천시 심곡2동 407-2 유정빌라 B동앞 위치,37.48829213,126.7792113,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 345,1,경기도 부천시 신흥로52번길 35,경기도 부천시 심곡2동 407-2 유정빌라 H동옥상(남서쪽코너위치),37.48829213,126.7792113,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 343,1,경기도 부천시 신흥로52번길 35,경기도 부천시 심곡2동 407-2유정빌라 G동옥상(남서쪽코너 위치),37.48829213,126.7792113,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 342,1,경기도 부천시 신흥로56번길 30,경기도 부천시 심곡2동 407-5 옥상 위치,37.48845017,126.7789259,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 340,1,경기도 부천시 신흥로56번길 46,경기도 부천시 심곡2동 408-14 옥상 (서쪽 끝 위치1개),37.48830758,126.7797676,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 337,1,경기도 부천시 신흥로52번길 49,경기도 부천시 심곡2동 408-18 옥상 위치,37.48815289,126.7799173,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 334,1,경기도 부천시 신흥로52번길 53,경기도 부천시 심곡2동 408-22 옥상위치,37.48796584,126.7801123,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 339,1,경기도 부천시 부일로445번길 46,경기도 부천시 심곡2동 408-9 앞 전주,37.48823523,126.779623,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 492,1,,경기도 부천시 심곡2동 415-9 앞 (145-15와 사이에 위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 350,2,경기도 부천시 부일로431번길 43,경기도 부천시 심곡2동 454-1(점자 도서관앞위치),,,,,032-625-5074,경기도 부천시청,2020-10-22
심곡동 352,1,,경기도 부천시 심곡2동 455-1 앞 (456-18 맞은편 위치1개),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 351,1,,경기도 부천시 심곡2동 455-1 앞 (456-21 맞은편 위치1개),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 355,1,경기도 부천시 신흥로46번길 19,경기도 부천시 심곡2동 456-12 앞 위치,37.48783949,126.7780729,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 353,1,경기도 부천시 부일로431번길 29,경기도 부천시 심곡2동 456-2 옥상 위치,37.48786883,126.7783396,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 356,1,,경기도 부천시 심곡2동 456-7 옥상 (골목안 쪽에 위치),,,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 357,1,,경기도 부천시 심곡2동 456-7 옥상 (길가쪽에 위치),,,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 360,1,경기도 부천시 부일로431번길 19-8,경기도 부천시 심곡2동 457-13 옥상위치,37.48755443,126.7778883,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 359,1,경기도 부천시 부일로431번길 19,경기도 부천시 심곡2동 457-21 앞 골목입구 위치,37.48738928,126.778228,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 358,1,경기도 부천시 신흥로46번길 12-8,경기도 부천시 심곡2동 457-33 옥상 위치,37.48749601,126.7774859,,건축물,032-625-5074,경기도 부천시청,2020-10-22
심곡동 389,1,경기도 부천시 신흥로40번길 8,경기도 부천시 심곡2동 458-11앞(458-20과 사이에 위치),,,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 386,1,경기도 부천시 부일로 429,경기도 부천시 심곡2동 458-13 앞 (402-7맞은편 위치),37.48693464,126.7779444,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 387,1,경기도 부천시 부일로 429,경기도 부천시 심곡2동 458-13 앞 (457-23맞읕편 코너위치),37.48693464,126.7779444,,한전주,032-625-5074,경기도 부천시청,2020-10-22
심곡동 388,1,경기도 부천시 부일로 429,경기도 부천시 심곡2동 458-2 앞 위치,37.48693464,126.7779444,,한전주,032-625-5074,경기도 부천시청,2020-10-22
